Team,Player,Pitch Type,Pitches,BBE,EV,EV 90,Max EV,HH%,LA,HH LA,SwSpot%,Barrel%,Barrels,BA,xBA,wOBA,xwOBA,GB%,FB%,LD%,Swing%,Z-Swing%,Z-Contact%,Chase%,Whiff%,SD+
CLA_CLA,Andrew Mazzone,All,33,5,81.3,111.8,113.2,40.0%,24.9°,24.6°,40.0,40.0%,2,0.5,0.383,0.67,0.618,20.0%,20.0%,40.0%,39.4%,66.7%,87.5%,23.8%,15.4%,14
Illinois Wesleyan,Justin Gadomski,All,105,34,86.7,100.3,102.8,26.5%,17.1°,15.1°,52.9,2.9%,1,0.5,0.331,0.669,0.415,29.4%,32.4%,38.2%,54.3%,75.0%,100.0%,36.8%,8.8%,152
Tampa,Cole Russo,All,41,7,80.3,105.5,107.5,28.6%,-4.2°,20.8°,57.1,14.3%,1,0.444,0.328,0.667,0.475,28.6%,14.3%,57.1%,58.5%,85.7%,83.3%,44.4%,25.0%,100
High Point,Caleb Hammond,All,67,7,94.3,102.5,102.6,57.1%,24.3°,9.0°,57.1,14.3%,1,0.364,0.244,0.666,0.459,14.3%,28.6%,42.9%,37.3%,62.1%,66.7%,18.4%,40.0%,119
Emmanuel (GA),Landon Mokris,All,226,39,91.8,105.7,109.2,46.2%,18.9°,16.2°,53.8,10.3%,4,0.511,0.368,0.665,0.498,20.5%,28.2%,33.3%,41.6%,73.8%,93.2%,24.0%,10.6%,114
Pacific Lutheran,Brody Phinney,All,38,5,93.3,100.7,100.8,40.0%,13.1°,23.8°,40.0,20.0%,1,0.5,0.173,0.662,0.316,20.0%,40.0%,20.0%,42.1%,63.6%,85.7%,33.3%,31.2%,77
Georgetown (KY),Nolan Smith,All,33,5,97.6,100.7,102.2,80.0%,22.7°,14.9°,60.0,20.0%,1,0.5,0.456,0.661,0.601,20.0%,40.0%,40.0%,39.4%,50.0%,83.3%,33.3%,30.8%,128
East Texas Baptist,Hunter Rumachik,All,30,8,88.7,104.4,106.3,37.5%,10.2°,23.2°,62.5,25.0%,2,0.444,0.376,0.659,0.558,12.5%,50.0%,37.5%,53.3%,72.7%,87.5%,42.1%,12.5%,105
Kansas State,Max Martin,All,250,38,98.9,110.7,112.2,65.8%,15.2°,16.5°,36.8,21.1%,8,0.462,0.379,0.657,0.589,31.6%,31.6%,28.9%,41.2%,65.5%,74.3%,21.2%,33.0%,100
Southern,Dylan Jones,All,46,6,91.4,103.3,104.1,33.3%,23.4°,24.7°,33.3,33.3%,2,0.375,0.278,0.655,0.518,33.3%,50.0%,0.0%,39.1%,73.3%,81.8%,22.6%,22.2%,158
King,Josh Nuno,All,29,7,89.5,94.4,94.6,0.0%,15.4°,-,42.9,0.0%,0,0.625,0.336,0.651,0.576,28.6%,14.3%,42.9%,48.3%,84.6%,90.9%,18.8%,14.3%,148
Delta State,Brendan McCauley,All,44,12,80.3,96.5,102.6,8.3%,9.0°,25.4°,33.3,8.3%,1,0.583,0.339,0.648,0.52,50.0%,25.0%,16.7%,38.6%,62.5%,80.0%,25.0%,11.8%,121
Reinhardt,Barry Eiseman,All,68,14,91.5,96.9,102.3,50.0%,14.9°,8.3°,35.7,7.1%,1,0.571,0.423,0.642,0.524,35.7%,28.6%,35.7%,42.6%,78.1%,100.0%,11.1%,0.0%,145
Lenoir-Rhyne,Alex Rich,All,40,6,91.3,94.8,96.1,33.3%,9.1°,1.9°,16.7,0.0%,0,0.625,0.324,0.641,0.37,66.7%,16.7%,16.7%,47.5%,78.9%,80.0%,19.0%,26.3%,200
La Verne,Jake Ledford,All,36,9,83.3,91.8,94.5,0.0%,8.3°,-,55.6,0.0%,0,0.6,0.51,0.636,0.501,66.7%,0.0%,33.3%,44.4%,62.5%,100.0%,30.0%,6.2%,47
Biola,Adiel Torres,All,41,5,92.0,97.6,98.1,40.0%,10.3°,18.1°,80.0,0.0%,0,0.625,0.372,0.63,0.397,20.0%,0.0%,80.0%,61.0%,76.2%,75.0%,45.0%,28.0%,38
Ashland,Sam Witt,All,44,8,87.4,104.3,106.1,37.5%,-0.9°,10.5°,12.5,0.0%,0,0.5,0.318,0.629,0.426,87.5%,12.5%,0.0%,36.4%,61.1%,100.0%,19.2%,6.2%,146
UT Dallas,Thomas Soto,All,47,11,81.0,93.9,95.3,9.1%,7.1°,9.8°,36.4,0.0%,0,0.545,0.434,0.629,0.467,45.5%,18.2%,36.4%,42.6%,58.3%,92.9%,26.1%,10.0%,109
Tampa,Jhoander Irigoyen,All,37,8,84.2,101.9,102.9,50.0%,-14.8°,14.4°,37.5,12.5%,1,0.5,0.467,0.629,0.588,62.5%,12.5%,25.0%,37.8%,68.8%,100.0%,14.3%,0.0%,134
British Columbia,Stephen Waters,All,39,9,86.0,96.9,97.7,22.2%,6.4°,17.8°,55.6,0.0%,0,0.556,0.488,0.628,0.548,44.4%,0.0%,55.6%,38.5%,71.4%,90.0%,20.0%,6.7%,139
Lenoir-Rhyne,Mackenzie Wainwright,All,484,102,93.9,109.0,111.6,57.8%,12.3°,12.2°,45.1,13.7%,14,0.461,0.391,0.624,0.531,35.3%,27.5%,35.3%,40.7%,66.2%,91.5%,23.5%,16.2%,106
Webber International,Nathan Cannizzaro,All,38,5,89.3,95.6,96.9,20.0%,15.8°,12.8°,20.0,0.0%,0,0.6,0.301,0.623,0.468,40.0%,20.0%,20.0%,26.3%,62.5%,70.0%,0.0%,30.0%,166
Coppin State,Noah Hogan,All,71,15,81.1,91.7,98.1,6.7%,31.0°,15.6°,46.7,0.0%,0,0.571,0.283,0.619,0.376,13.3%,40.0%,26.7%,39.4%,71.0%,77.3%,15.0%,21.4%,148
Charleston,Casey Finck,All,41,7,84.4,99.4,100.0,42.9%,1.5°,4.7°,14.3,0.0%,0,0.5,0.261,0.619,0.383,71.4%,14.3%,14.3%,29.3%,50.0%,88.9%,13.0%,16.7%,162
MIT,Zev Moore,All,55,10,89.9,101.8,106.8,50.0%,5.3°,7.9°,40.0,0.0%,0,0.5,0.414,0.619,0.636,40.0%,10.0%,40.0%,40.0%,63.6%,78.6%,24.2%,18.2%,147
Lenoir-Rhyne,Cole Stanford,All,372,72,87.6,105.7,108.7,43.1%,10.6°,9.4°,30.6,9.7%,7,0.463,0.307,0.616,0.455,44.4%,29.2%,18.1%,36.6%,56.1%,92.8%,23.7%,14.0%,112
Shenandoah,Noah Cornwell,All,241,43,95.9,107.2,110.4,65.1%,12.4°,14.2°,37.2,14.0%,6,0.421,0.332,0.616,0.491,39.5%,27.9%,32.6%,44.4%,72.8%,81.3%,23.2%,30.8%,102
Hardin-Simmons,Quincy McGraw,All,70,14,79.3,95.3,95.4,14.3%,15.5°,21.6°,50.0,0.0%,0,0.375,0.298,0.616,0.43,21.4%,35.7%,42.9%,30.0%,52.0%,100.0%,17.8%,14.3%,138
Norfolk State,Jamal Ritter,All,87,14,87.7,101.6,104.0,42.9%,14.9°,17.4°,57.1,14.3%,2,0.444,0.34,0.615,0.467,28.6%,28.6%,42.9%,35.6%,68.4%,84.6%,10.2%,16.1%,122
FGCU,Jaret Nelson,All,343,39,91.1,106.7,108.6,66.7%,17.5°,22.1°,56.4,25.6%,10,0.414,0.331,0.614,0.542,25.6%,38.5%,33.3%,34.7%,59.6%,87.7%,18.4%,20.2%,130
Cumberlands (KY),Caden Petrey,All,232,35,90.3,108.1,109.0,48.6%,11.1°,18.3°,54.3,14.3%,5,0.442,0.419,0.611,0.578,34.3%,25.7%,37.1%,36.6%,71.0%,85.7%,22.1%,20.0%,121
Reinhardt,Dryden Howse,All,54,10,92.3,98.6,100.4,40.0%,11.0°,0.5°,30.0,0.0%,0,0.5,0.292,0.61,0.358,60.0%,20.0%,20.0%,35.2%,65.0%,92.3%,17.6%,26.3%,102
Cumberlands (KY),Zamaurion Hatcher,All,44,6,85.3,96.4,97.9,16.7%,15.9°,26.7°,66.7,0.0%,0,0.429,0.377,0.61,0.526,33.3%,16.7%,50.0%,31.8%,41.7%,100.0%,28.1%,0.0%,150
Erskine,Mason McManus,All,73,13,84.9,98.7,99.9,46.2%,16.6°,14.8°,30.8,7.7%,1,0.438,0.313,0.606,0.463,30.8%,46.2%,23.1%,35.6%,67.9%,89.5%,15.6%,23.1%,112
Villanova,Jake Bollin,All,35,8,93.4,105.8,109.5,50.0%,21.9°,14.7°,37.5,12.5%,1,0.4,0.275,0.606,0.448,25.0%,50.0%,25.0%,42.9%,64.3%,88.9%,28.6%,26.7%,79
West Texas A&M,Seth Ochoa,All,45,8,91.9,96.2,96.9,25.0%,18.7°,24.2°,50.0,0.0%,0,0.3,0.199,0.605,0.355,25.0%,50.0%,25.0%,35.6%,57.1%,91.7%,16.7%,12.5%,100
Norfolk State,Justin Journette,All,75,14,100.5,115.9,118.7,64.3%,18.9°,11.1°,35.7,14.3%,2,0.45,0.346,0.604,0.443,28.6%,35.7%,28.6%,53.3%,87.5%,82.1%,27.9%,42.5%,90
UT Dallas,Trent McCown,All,54,7,83.9,95.5,100.6,14.3%,14.2°,42.6°,42.9,0.0%,0,0.375,0.299,0.603,0.484,28.6%,28.6%,42.9%,33.3%,66.7%,78.6%,12.1%,16.7%,178
Ashland,Max Caron,All,192,27,86.9,107.9,108.9,33.3%,13.1°,19.5°,59.3,7.4%,2,0.515,0.359,0.601,0.5,33.3%,22.2%,44.4%,27.6%,57.7%,92.7%,9.9%,17.0%,149
Keiser,Edbarry Guzman-Ithier,All,71,11,90.0,102.3,102.9,63.6%,-0.5°,14.0°,72.7,0.0%,0,0.429,0.411,0.601,0.524,27.3%,0.0%,72.7%,38.0%,68.8%,81.8%,12.8%,22.2%,110
Lenoir-Rhyne,Sal Carricato,All,430,92,89.5,104.2,108.1,39.1%,16.2°,17.4°,41.3,6.5%,6,0.458,0.342,0.6,0.457,29.3%,31.5%,32.6%,43.3%,66.8%,87.8%,25.6%,22.0%,112
Northern Colorado,Ethan Mooser,All,73,10,87.8,102.6,102.8,40.0%,15.7°,17.4°,50.0,0.0%,0,0.462,0.332,0.597,0.484,30.0%,20.0%,40.0%,32.9%,60.7%,82.4%,15.6%,12.5%,111
California Lutheran,Josh Quinn,All,66,9,95.1,103.0,104.0,55.6%,32.8°,25.2°,55.6,33.3%,3,0.333,0.234,0.596,0.461,0.0%,44.4%,22.2%,40.9%,68.2%,73.3%,27.3%,33.3%,124
Ashland,Collin Overholt,All,160,32,90.4,102.1,105.5,46.9%,18.0°,19.7°,53.1,9.4%,3,0.472,0.384,0.594,0.519,25.0%,34.4%,40.6%,39.4%,61.8%,91.5%,19.0%,9.5%,120
Taylor,Luke Sutter,All,208,33,88.4,99.9,101.7,42.4%,11.5°,12.8°,54.5,3.0%,1,0.474,0.393,0.594,0.495,39.4%,18.2%,36.4%,37.5%,65.5%,94.5%,18.5%,11.5%,118
Chapman,Matt Cristol,All,146,26,91.1,102.8,104.2,42.3%,11.0°,10.0°,30.8,7.7%,2,0.452,0.338,0.593,0.491,53.8%,26.9%,15.4%,37.0%,72.9%,80.0%,19.4%,20.4%,136
Reinhardt,Nash Crowell,All,73,15,88.5,103.9,105.3,33.3%,24.2°,21.6°,26.7,6.7%,1,0.5,0.365,0.592,0.474,33.3%,26.7%,20.0%,45.2%,74.2%,95.7%,23.8%,9.1%,112
Walsh,Grant Blomeke,All,46,5,86.5,99.1,99.8,40.0%,8.2°,11.6°,60.0,0.0%,0,0.556,0.312,0.591,0.412,40.0%,0.0%,60.0%,34.8%,68.4%,61.5%,11.1%,43.8%,134
Westcliff,Jack Varney,All,44,6,82.4,96.9,99.1,16.7%,15.8°,34.2°,50.0,0.0%,0,0.375,0.229,0.591,0.42,16.7%,33.3%,50.0%,29.5%,40.0%,87.5%,20.8%,23.1%,104
Sacred Heart,Steak Newman,All,102,19,90.1,101.7,102.2,63.2%,14.9°,17.9°,68.4,21.1%,4,0.435,0.36,0.591,0.498,26.3%,31.6%,42.1%,39.2%,67.4%,80.6%,16.1%,27.5%,114
Nova Southeastern,Xavier Moronta,All,50,11,90.9,103.2,104.9,54.5%,26.4°,21.1°,54.5,27.3%,3,0.417,0.383,0.59,0.588,18.2%,36.4%,27.3%,48.0%,75.0%,100.0%,23.1%,4.2%,78
Southeastern Louisiana,Bailyn Sorensen,All,42,8,88.0,102.5,106.8,37.5%,6.3°,3.4°,12.5,0.0%,0,0.583,0.289,0.587,0.326,62.5%,25.0%,12.5%,47.6%,64.7%,72.7%,36.0%,40.0%,-1
SUNY Cortland,Nolan Smith,All,55,6,83.1,101.7,103.6,50.0%,20.3°,17.1°,100.0,16.7%,1,0.571,0.537,0.587,0.623,16.7%,33.3%,50.0%,34.5%,63.2%,91.7%,19.4%,10.5%,161
Bowling Green,DJ Newman,All,143,26,88.7,104.9,107.5,46.2%,4.2°,9.9°,34.6,7.7%,2,0.467,0.349,0.587,0.473,53.8%,23.1%,23.1%,42.7%,73.6%,82.1%,24.4%,13.1%,125
NJIT,Mason Wolf,All,239,46,91.3,102.2,107.0,52.2%,9.6°,8.4°,34.8,4.3%,2,0.481,0.323,0.585,0.443,45.7%,23.9%,26.1%,38.1%,64.2%,83.6%,20.8%,22.0%,127
New Mexico,Ethan Ott,All,559,104,91.8,108.9,111.9,51.0%,13.8°,19.3°,42.3,20.2%,21,0.419,0.349,0.584,0.526,33.7%,35.6%,27.9%,41.5%,74.0%,86.2%,17.9%,23.3%,137
Illinois Wesleyan,John Philip Ferraro,All,97,15,90.9,97.9,107.6,46.7%,16.6°,10.3°,66.7,0.0%,0,0.429,0.28,0.582,0.378,26.7%,20.0%,53.3%,43.3%,78.4%,86.2%,21.7%,21.4%,177
Illinois Springfield,Johnny Wendling,All,56,9,88.7,100.1,100.8,22.2%,24.3°,11.8°,66.7,0.0%,0,0.5,0.41,0.581,0.536,11.1%,22.2%,66.7%,30.4%,75.0%,86.7%,5.6%,17.6%,211
St. Thomas (TX),Alex Trinh,All,77,12,92.2,102.0,104.6,50.0%,11.4°,9.9°,75.0,0.0%,0,0.533,0.511,0.58,0.568,16.7%,0.0%,83.3%,45.5%,83.3%,96.0%,21.3%,8.6%,132
Arkansas-Pine Bluff,Blake Coleman,All,35,5,85.2,96.0,96.1,40.0%,19.6°,20.4°,100.0,0.0%,0,0.429,0.403,0.579,0.479,20.0%,20.0%,60.0%,48.6%,61.5%,62.5%,40.9%,35.3%,95
Charleston,Dakota Miller,All,36,10,91.5,105.3,106.0,40.0%,15.7°,5.2°,60.0,0.0%,0,0.417,0.32,0.579,0.357,20.0%,20.0%,50.0%,63.9%,82.4%,64.3%,47.4%,52.2%,74
Jackson State,Joseph Eichelberger,All,71,15,91.1,102.7,103.6,40.0%,-4.5°,6.9°,20.0,6.7%,1,0.55,0.246,0.578,0.393,53.3%,6.7%,13.3%,40.8%,59.4%,84.2%,25.6%,24.1%,73
Bowling Green,Brady Birchmeier,All,155,31,96.2,107.2,109.6,67.7%,15.5°,11.1°,51.6,16.1%,5,0.405,0.4,0.578,0.548,29.0%,29.0%,41.9%,39.4%,61.0%,94.4%,26.0%,23.0%,67
Saint Peter's,Tyler Smith,All,69,12,93.9,101.9,102.1,58.3%,17.9°,14.3°,41.7,8.3%,1,0.417,0.388,0.577,0.565,33.3%,25.0%,33.3%,40.6%,66.7%,86.4%,16.7%,21.4%,163
King,Nathan Borchardt,All,72,13,93.3,104.0,108.8,53.8%,11.5°,13.3°,61.5,7.7%,1,0.467,0.34,0.571,0.45,30.8%,7.7%,53.8%,40.3%,66.7%,75.0%,21.4%,24.1%,78
Walsh,Cam Hollobaugh,All,64,6,93.5,104.0,104.2,66.7%,18.3°,18.2°,100.0,33.3%,2,0.4,0.376,0.571,0.555,0.0%,33.3%,66.7%,34.4%,63.2%,100.0%,22.2%,27.3%,146
Hawaii Pacific,Noah Blythe,All,112,26,93.4,106.7,108.6,57.7%,17.0°,11.4°,50.0,7.7%,2,0.516,0.432,0.571,0.508,26.9%,19.2%,42.3%,52.7%,83.0%,89.7%,30.8%,16.9%,88
Concord,Nick DiSanti,All,53,14,80.6,91.8,93.3,7.1%,20.6°,-31.6°,42.9,0.0%,0,0.533,0.362,0.57,0.395,35.7%,35.7%,14.3%,45.3%,69.6%,100.0%,26.7%,0.0%,113
UT Tyler,Bryce Jewell,All,190,45,85.8,99.3,100.8,22.2%,9.5°,20.5°,33.3,4.4%,2,0.46,0.27,0.567,0.387,51.1%,22.2%,22.2%,50.5%,80.2%,87.7%,28.4%,16.7%,106
Francis Marion,Dariel Villaran Goundis,All,28,5,83.8,98.2,98.6,40.0%,16.9°,11.8°,20.0,0.0%,0,0.5,0.253,0.567,0.23,60.0%,20.0%,20.0%,28.6%,53.3%,100.0%,0.0%,0.0%,148
Saint Francis (IN),Kasen Oribello,All,113,17,89.0,95.9,96.1,23.5%,20.0°,28.9°,58.8,0.0%,0,0.375,0.234,0.565,0.383,5.9%,35.3%,41.2%,39.8%,61.1%,69.7%,20.3%,35.6%,115
Cumberlands (KY),Max Harper,All,214,27,89.3,106.0,110.9,44.4%,11.7°,12.6°,29.6,11.1%,3,0.4,0.299,0.565,0.499,51.9%,25.9%,18.5%,31.3%,63.2%,90.7%,16.4%,22.4%,122
Lindenwood,Sam Grunberg,All,108,23,93.5,105.6,106.9,52.2%,17.3°,14.0°,39.1,17.4%,4,0.429,0.317,0.565,0.454,26.1%,26.1%,34.8%,53.7%,79.5%,88.6%,35.9%,19.0%,56
Auburn Montgomery,Hayden Grier,All,41,9,71.6,89.7,93.2,0.0%,-9.1°,-,44.4,0.0%,0,0.5,0.301,0.564,0.347,44.4%,11.1%,33.3%,46.3%,70.0%,100.0%,38.7%,21.1%,122
Quincy,Jake Vitale,All,51,7,90.0,100.7,102.2,42.9%,16.1°,10.5°,28.6,14.3%,1,0.375,0.377,0.561,0.533,42.9%,42.9%,14.3%,41.2%,89.5%,76.5%,12.5%,33.3%,123
Charleston,Carter Rust,All,51,8,79.8,106.2,106.6,25.0%,4.9°,14.8°,25.0,12.5%,1,0.4,0.284,0.561,0.329,50.0%,12.5%,25.0%,41.2%,55.6%,90.0%,33.3%,28.6%,62
Bloomsburg,Brady Ebbert,All,25,6,79.6,97.4,98.2,33.3%,6.5°,13.0°,50.0,0.0%,0,0.5,0.423,0.559,0.477,33.3%,33.3%,33.3%,44.0%,70.0%,100.0%,26.7%,9.1%,87
Newberry,Anthony Plotkin,All,61,11,92.0,98.9,101.1,27.3%,-2.1°,10.3°,45.5,0.0%,0,0.5,0.454,0.559,0.496,45.5%,0.0%,45.5%,37.7%,44.4%,100.0%,32.4%,4.3%,37
Mississippi College,Bryce Capobianco,All,71,10,82.0,98.6,98.9,40.0%,-4.5°,9.8°,30.0,0.0%,0,0.5,0.27,0.558,0.356,50.0%,20.0%,30.0%,40.8%,67.7%,95.2%,20.0%,17.2%,87
Azusa Pacific,Eli Morgan,All,34,12,90.0,102.6,107.1,41.7%,14.9°,16.6°,50.0,8.3%,1,0.462,0.376,0.558,0.495,33.3%,33.3%,33.3%,55.9%,87.5%,85.7%,27.8%,10.5%,97
Oklahoma Wesleyan,Javier Marcial,All,91,11,89.4,101.7,103.4,54.5%,7.0°,11.8°,36.4,0.0%,0,0.438,0.261,0.558,0.381,36.4%,18.2%,45.5%,42.9%,70.3%,76.9%,24.1%,28.2%,111
High Point,Brayden Simpson,All,785,148,93.5,110.1,113.1,52.7%,14.9°,19.3°,41.2,20.3%,30,0.429,0.4,0.557,0.56,34.5%,29.7%,31.8%,43.9%,69.9%,87.4%,22.9%,18.6%,113
Delta State,Triston Hickman,All,52,8,83.1,95.7,96.1,25.0%,12.5°,40.5°,25.0,0.0%,0,0.4,0.096,0.557,0.238,37.5%,62.5%,0.0%,32.7%,56.5%,76.9%,13.8%,35.3%,85
Fairleigh Dickinson,Felix Gonzalez,All,33,5,79.0,96.9,99.0,20.0%,15.7°,37.2°,40.0,0.0%,0,0.429,0.155,0.556,0.204,40.0%,20.0%,20.0%,48.5%,72.2%,69.2%,20.0%,37.5%,96
Chapman,Nicholas Naccarato,All,76,11,84.3,97.1,99.0,27.3%,9.2°,11.3°,54.5,0.0%,0,0.5,0.398,0.555,0.459,36.4%,18.2%,45.5%,38.2%,73.3%,81.8%,15.2%,17.2%,147
Florida Memorial,Christian Carratala,All,87,9,80.4,94.2,97.9,11.1%,5.9°,18.1°,77.8,0.0%,0,0.417,0.389,0.554,0.499,22.2%,11.1%,66.7%,35.6%,73.3%,77.3%,15.8%,25.8%,185
Pacific (OR),Matt Gibbs,All,45,8,80.7,95.6,96.6,25.0%,-14.3°,11.4°,37.5,0.0%,0,0.375,0.394,0.554,0.511,62.5%,12.5%,25.0%,35.6%,66.7%,100.0%,20.0%,6.2%,186
Dallas,Caleb Hohman,All,50,7,85.8,101.2,101.7,42.9%,10.5°,14.3°,42.9,0.0%,0,0.4,0.245,0.554,0.43,28.6%,42.9%,28.6%,30.0%,55.0%,72.7%,13.3%,40.0%,102
King,Michael Starrs,All,88,15,88.2,99.9,101.5,40.0%,13.2°,26.0°,40.0,0.0%,0,0.389,0.237,0.551,0.344,33.3%,33.3%,33.3%,44.3%,68.2%,86.7%,20.5%,17.9%,111
Millersville,Amani Jones,All,221,46,87.1,96.5,99.1,17.4%,11.6°,7.9°,34.8,0.0%,0,0.447,0.347,0.55,0.457,37.0%,23.9%,32.6%,43.9%,61.5%,96.4%,31.5%,7.2%,90
Saint Francis (IN),Callan Stauffer,All,127,12,78.6,96.0,96.7,16.7%,-3.8°,10.1°,33.3,0.0%,0,0.4,0.248,0.55,0.455,58.3%,0.0%,33.3%,33.9%,68.1%,71.9%,13.8%,39.5%,148
Iona,James Kemp,All,94,19,93.4,103.0,106.7,42.1%,24.5°,18.7°,47.4,5.3%,1,0.45,0.365,0.549,0.493,21.1%,42.1%,26.3%,41.5%,72.1%,90.3%,15.7%,15.4%,122
Ashland,Gage Weaver,All,81,18,84.1,99.9,100.0,27.8%,4.8°,-3.4°,22.2,0.0%,0,0.556,0.311,0.547,0.373,61.1%,22.2%,16.7%,43.2%,65.5%,100.0%,30.8%,0.0%,87
